location,coordinates,lat,lon
Gazimağusa,"['35.1205261', '33.9387919']",35.1205261,33.9387919
Adana,"['36.9863599', '35.3252861']",36.9863599,35.3252861
Balıkesir,"['39.5400798', '28.0228793']",39.5400798,28.0228793
Şanlıurfa,"['37.2595198', '39.0408174']",37.2595198,39.0408174
Sakarya,"['40.7731834', '30.481606']",40.7731834,30.481606
ANTALYA,"['36.8864752', '30.7029585']",36.8864752,30.7029585
Izmir,"['38.4237433', '27.1428019']",38.4237433,27.1428019
ADANA,"['36.9863599', '35.3252861']",36.9863599,35.3252861
NEVŞEHİR,"['38.7235072', '34.7194168']",38.7235072,34.7194168
KONYA,"['38.0211951', '32.5224943']",38.0211951,32.5224943
ISTANBUL,"['41.0766019', '29.052495']",41.0766019,29.052495
Niğde,"['38.0664691', '34.7051438']",38.0664691,34.7051438
Arhavi,"['41.3520702', '41.3093534']",41.3520702,41.3093534
ankara,"['39.7160439', '32.7059948']",39.7160439,32.7059948
AKSARAY,"['38.4326291', '33.8976963']",38.4326291,33.8976963
Güzelyurt,"['35.1993042', '32.9928829']",35.1993042,32.9928829
Kütahya,"['39.2522508', '29.4937732']",39.2522508,29.4937732
AFYONKARAHİSAR,"['38.6852729', '30.6427411']",38.6852729,30.6427411
Uşak,"['38.609666', '29.3306506']",38.609666,29.3306506
SAKARYA,"['40.7731834', '30.481606']",40.7731834,30.481606
Bolu,"['40.6212099', '31.6460259']",40.6212099,31.6460259
mersin,"['36.7978381', '34.6298391']",36.7978381,34.6298391
izmir,"['38.4237433', '27.1428019']",38.4237433,27.1428019
Aksaray,"['38.4326291', '33.8976963']",38.4326291,33.8976963
Kastamonu,"['41.3680217', '33.7619177']",41.3680217,33.7619177
K.maraş,"['51.5266057', '7.4648214']",51.5266057,7.4648214
Tekirdağ,"['40.9913019', '27.3676293']",40.9913019,27.3676293
Düzce,"['40.8774545', '31.2009618']",40.8774545,31.2009618
Sinop,"['41.6476377', '34.9560137']",41.6476377,34.9560137
Elazığ,"['38.5824771', '39.396179']",38.5824771,39.396179
Kırıkkale,"['39.8860105', '33.8278992']",39.8860105,33.8278992
Isparta,"['37.9465412', '30.9602093']",37.9465412,30.9602093
Ağrı,"['39.52916', '43.3835645']",39.52916,43.3835645
Giresun,"['40.6531617', '38.5172032']",40.6531617,38.5172032
Hatay,"['36.2025471', '36.1602908']",36.2025471,36.1602908
Denizli,"['37.7827875', '29.0966476']",37.7827875,29.0966476
Çanakkale,"['40.0549886', '26.9278292']",40.0549886,26.9278292
Siirt,"['37.8646916', '42.0510294']",37.8646916,42.0510294
Sivas,"['39.4191717', '37.1012388']",39.4191717,37.1012388
Malatya,"['38.3487153', '38.3190674']",38.3487153,38.3190674
Şırnak,"['37.548722', '42.36187880016271']",37.548722,42.36187880016271
Hakkari,"['37.5766959', '43.7377862']",37.5766959,43.7377862
Mardin,"['37.3132581', '40.7354383']",37.3132581,40.7354383
Van,"['38.3249599', '43.6589825']",38.3249599,43.6589825
stanbul,"['43.2597115', '-4.0676742']",43.2597115,-4.0676742
Lefkoşa,"['35.1746503', '33.3638783']",35.1746503,33.3638783
Lefke,"['35.11393805', '32.84992358187377']",35.11393805,32.84992358187377
Agri,"['39.7779175', '43.168437098021585']",39.7779175,43.168437098021585
Adiyaman,"['37.7602985', '38.2772986']",37.7602985,38.2772986
Erzincan,"['39.6073429', '39.2013209']",39.6073429,39.2013209
Diger,"['20.8978392', '74.1296053']",20.8978392,74.1296053
Bayburt,"['40.2023027', '40.2121599']",40.2023027,40.2121599
Sanliurfa,"['37.1596239', '38.791929']",37.1596239,38.791929
Eskisehir,"['39.7743941', '30.519116']",39.7743941,30.519116
Balikesir,"['39.5400798', '28.0228793']",39.5400798,28.0228793
Tekirdag,"['40.9913019', '27.3676293']",40.9913019,27.3676293
Yozgat,"['39.7152422', '35.170998']",39.7152422,35.170998
Çorum,"['40.5698389', '34.7269292']",40.5698389,34.7269292
Karabük,"['41.1110349', '32.6193901']",41.1110349,32.6193901
Mugla,"['37.1642053', '28.2624288']",37.1642053,28.2624288
Aydin,"['37.8483767', '27.8435878']",37.8483767,27.8435878
Nigde,"['38.0664691', '34.7051438']",38.0664691,34.7051438
Bitlis,"['38.4950867', '42.1678372']",38.4950867,42.1678372
Amasya,"['40.6569451', '35.7727169']",40.6569451,35.7727169
Tunceli,"['39.1060641', '39.5482693']",39.1060641,39.5482693
Sirnak,"['37.548722', '42.36187880016271']",37.548722,42.36187880016271
Edirne,"['41.6759327', '26.5587225']",41.6759327,26.5587225
Çankiri,"['40.6667691', '33.4526069']",40.6667691,33.4526069
Kahramanmaras,"['37.5812744', '36.927509']",37.5812744,36.927509
Ardahan,"['41.0372501', '42.7462189']",41.0372501,42.7462189
Usak,"['25.0073145', '81.4649963']",25.0073145,81.4649963
Tokat,"['40.38658275', '36.656546010111526']",40.38658275,36.656546010111526
Yalova,"['40.5928976', '29.077611679403788']",40.5928976,29.077611679403788
Elazig,"['38.5824771', '39.396179']",38.5824771,39.396179
Karaman,"['37.1796848', '33.3383665']",37.1796848,33.3383665
Burdur,"['37.5183407', '30.1691254']",37.5183407,30.1691254
Diyarbakir,"['37.9162222', '40.2363542']",37.9162222,40.2363542
Gümüshane,"['40.2533219', '39.384968']",40.2533219,39.384968
Kirklareli,"['41.7078046', '27.6051334']",41.7078046,27.6051334
Mus,"['43.741', '4.20191']",43.741,4.20191
Hakkâri,"['37.495358', '44.1054777']",37.495358,44.1054777
Artvin,"['41.160506', '41.8398627']",41.160506,41.8398627
Kirikkale,"['39.8410483', '33.5058536']",39.8410483,33.5058536
Igdir,"['37.5221197', '45.2363614']",37.5221197,45.2363614
Eskişehir,"['39.6821156', '31.0723476']",39.6821156,31.0723476
Rize,"['40.9569617', '40.884428']",40.9569617,40.884428
Iğdır,"['39.8945292', '43.9427459']",39.8945292,43.9427459
Muş,"['38.9740786', '41.9590433']",38.9740786,41.9590433
Adıyaman,"['37.78936', '38.3141101']",37.78936,38.3141101
Bilecik,"['40.1435101', '29.9752911']",40.1435101,29.9752911
Afyonkarahisar,"['38.6852729', '30.6427411']",38.6852729,30.6427411
Diğer,"['20.8978392', '74.1296053']",20.8978392,74.1296053
Nevşehir,"['38.7235072', '34.7194168']",38.7235072,34.7194168
Gümüşhane,"['40.2533219', '39.384968']",40.2533219,39.384968
Çankırı,"['40.6667691', '33.4526069']",40.6667691,33.4526069
Ünye/Ordu,"['41.1262405', '37.2853616']",41.1262405,37.2853616
Afyon,"['38.6852729', '30.6427411']",38.6852729,30.6427411
Kağıthane/İstanbul,"['41.0812087', '28.9730151']",41.0812087,28.9730151
Polatlı/Ankara,"['39.5849888', '32.1421925']",39.5849888,32.1421925
Esenyurt/İstanbul,"['41.0342862', '28.6801113']",41.0342862,28.6801113
Bahçeşehir/İstanbul,"['41.0641382', '28.6852834']",41.0641382,28.6852834
Bahçelievler/İstanbul,"['40.9954814', '28.8633136']",40.9954814,28.8633136
Yahyalı/Kayseri,"['38.1003432', '35.3541006']",38.1003432,35.3541006
Zeytinburnu/İstanbul,"['40.9898653', '28.9037467']",40.9898653,28.9037467
Hamburg,"['53.550341', '10.000654']",53.550341,10.000654
ZONGULDAK,"['41.250324', '31.8389738']",41.250324,31.8389738
Kilis,"['36.7797231', '37.1416892']",36.7797231,37.1416892
Feriköy/İstanbul,"['41.0490846', '28.9794103']",41.0490846,28.9794103
Çankaya/Ankara,"['39.9207759', '32.8540497']",39.9207759,32.8540497
Nevsehir,"['38.7235072', '34.7194168']",38.7235072,34.7194168
MANİSA,"['38.8574402', '28.0565711']",38.8574402,28.0565711
DİYARBAKIR,"['37.9162222', '40.2363542']",37.9162222,40.2363542
kocaeli,"['40.8216536', '29.9507184']",40.8216536,29.9507184
MERSİN,"['36.7978381', '34.6298391']",36.7978381,34.6298391
Alaplı/Zonguldak,"['41.180375', '31.3861776']",41.180375,31.3861776
YOZGAT,"['39.7152422', '35.170998']",39.7152422,35.170998
Kırgızistan-Bişkek,"['42.8777895', '74.6066926']",42.8777895,74.6066926
SAMSUN,"['41.2303557', '35.9683338']",41.2303557,35.9683338
"İstanbul
Niğde","['40.9673676', '29.2527393']",40.9673676,29.2527393
Batman/Merkez,"['37.8835738', '41.1277565']",37.8835738,41.1277565
İSKENDERUN,"['36.5902266', '36.1710354']",36.5902266,36.1710354
Ataşehir/İstanbul,"['40.9929379', '29.1135187']",40.9929379,29.1135187
Gemlik/Bursa,"['40.4301652', '29.1570698']",40.4301652,29.1570698
UŞAK,"['38.609666', '29.3306506']",38.609666,29.3306506
Aliağa/İzmir,"['38.8017371', '26.9734041']",38.8017371,26.9734041
Palandöken/Erzurum,"['39.8869983', '41.2705934']",39.8869983,41.2705934
Çiğli/İzmir,"['38.4938679', '27.0624484']",38.4938679,27.0624484
Güngören/İstanbul,"['41.0252832', '28.8726498']",41.0252832,28.8726498
Silivri/İstanbul,"['41.0742476', '28.2481709']",41.0742476,28.2481709
Konak/İzmir,"['38.4237433', '27.1428019']",38.4237433,27.1428019
Gönen/Balıkesir,"['40.1044116', '27.6563981']",40.1044116,27.6563981
Beşiktaş/İstanbul,"['41.0428465', '29.0075283']",41.0428465,29.0075283
Bağlar/Diyarbakır,"['37.9173215', '40.2082907']",37.9173215,40.2082907
Fatih/İstanbul,"['41.006381', '28.9758715']",41.006381,28.9758715
KAHRAMANMARAŞ,"['37.5812744', '36.927509']",37.5812744,36.927509
Kartal/İstanbul,"['40.88858', '29.1856536']",40.88858,29.1856536
Seyhan/Adana,"['36.9863599', '35.3252861']",36.9863599,35.3252861
Adapazarı/Sakarya,"['40.7726291', '30.4038575']",40.7726291,30.4038575
Germencik/Aydın,"['37.8725158', '27.6046766']",37.8725158,27.6046766
TRABZON,"['40.9098506', '39.77715282189265']",40.9098506,39.77715282189265
BURDUR,"['37.5183407', '30.1691254']",37.5183407,30.1691254
İzmit,"['40.7721138', '29.9505623']",40.7721138,29.9505623
Kocamustafapaşa/Fatih/İstanbul,"['41.0041123', '28.9287718']",41.0041123,28.9287718
Nürnberg,"['49.453872', '11.077298']",49.453872,11.077298
Yunusemre/Manisa,"['38.6086543', '27.4194561']",38.6086543,27.4194561
konya,"['38.0211951', '32.5224943']",38.0211951,32.5224943
Bigadiç/Balıkesir,"['39.391505', '28.1322269']",39.391505,28.1322269
Keçiören/Ankara,"['39.977713', '32.8669801']",39.977713,32.8669801
Bornova/İzmir,"['38.4660651', '27.2190721']",38.4660651,27.2190721
ERZURUM,"['39.90632', '41.2727715']",39.90632,41.2727715
Balçova/İzmir,"['38.3929338', '27.0448169']",38.3929338,27.0448169
Kadıköy/İstanbul,"['40.9912355', '29.0245385']",40.9912355,29.0245385
ESKİŞEHİR,"['39.6821156', '31.0723476']",39.6821156,31.0723476
Eryaman/Ankara,"['39.9722971', '32.6212797']",39.9722971,32.6212797
Şile/İstanbul,"['41.1744067', '29.6125216']",41.1744067,29.6125216
KKTC,"['35.1826164', '33.35859439575006']",35.1826164,33.35859439575006
KIRIKKALE,"['39.8410483', '33.5058536']",39.8410483,33.5058536
Hacettepe/Ankara,"['39.9311536', '32.8600444']",39.9311536,32.8600444
Avcılar/İstanbul,"['40.9799389', '28.7216689']",40.9799389,28.7216689
VAN,"['38.3249599', '43.6589825']",38.3249599,43.6589825
Beylikdüzü/İstanbul,"['41.0037541', '28.6372583']",41.0037541,28.6372583
Antakya,"['36.2036546', '36.1637648']",36.2036546,36.1637648
ODTÜ/Ankara,"['39.875496749999996', '32.78553505584672']",39.875496749999996,32.78553505584672
Dilovası/Kocaeli,"['40.7756061', '29.5260959']",40.7756061,29.5260959
Çaycuma/Zonguldak,"['41.4269456', '32.0728211']",41.4269456,32.0728211
Kaman/Kırşehir,"['39.3588984', '33.7243959']",39.3588984,33.7243959
Bilkent/Ankara,"['39.8842826', '32.7611124']",39.8842826,32.7611124
Derince/Kocaeli,"['40.757461', '29.8307537']",40.757461,29.8307537
Bartin,"['41.4947715', '32.4354255']",41.4947715,32.4354255
Darıca/Kocaeli,"['40.7574799', '29.3840563']",40.7574799,29.3840563
Sincan/Ankara,"['39.9655078', '32.5794438']",39.9655078,32.5794438
Yenibosna/İstanbul,"['40.9893998', '28.8368204']",40.9893998,28.8368204
Mamak/Ankara,"['39.9329813', '32.9082154']",39.9329813,32.9082154
Kepez/Antalya,"['36.9227084', '31.6166108']",36.9227084,31.6166108
Bağcılar/İstanbul,"['41.034547', '28.8567558']",41.034547,28.8567558
Akhisar/Manisa,"['38.9240528', '27.8401895']",38.9240528,27.8401895
Fethiye/Muğla,"['36.6221019', '29.1153234']",36.6221019,29.1153234
Odunpazarı/Eskişehir,"['39.7743941', '30.519116']",39.7743941,30.519116
Bakırköy/İstanbul,"['40.9782585', '28.8744461']",40.9782585,28.8744461
Ortaca/Muğla,"['36.8381358', '28.7642004']",36.8381358,28.7642004
Gündoğmuş/Antalya,"['36.814338', '31.9983333']",36.814338,31.9983333
Söke/Aydın,"['37.7519762', '27.4056294']",37.7519762,27.4056294
ODTÜ/Çankaya/Ankara,"['39.875496749999996', '32.78553505584672']",39.875496749999996,32.78553505584672
Nilüfer/Bursa,"['40.2129489', '28.9627863']",40.2129489,28.9627863
Merkez/Kastamonu,"['41.9572741', '34.0112406']",41.9572741,34.0112406
Mersin-Adana,"['36.9778106', '35.4697798']",36.9778106,35.4697798
Melikgazi/Kayseri,"['38.7219011', '35.4873214']",38.7219011,35.4873214
Orhangazi/Bursa,"['40.4921219', '29.3081543']",40.4921219,29.3081543
AMASYA,"['40.6569451', '35.7727169']",40.6569451,35.7727169
Gotham,"['43.2233214', '-90.2915132']",43.2233214,-90.2915132
İZMİT,"['40.7721138', '29.9505623']",40.7721138,29.9505623
Bodrum,"['37.0343987', '27.430651']",37.0343987,27.430651
Göle,"['39.9600876', '26.9341702']",39.9600876,26.9341702
GAZİANTEP,"['37.0628317', '37.3792617']",37.0628317,37.3792617
Gebze,"['40.8006696', '29.431767']",40.8006696,29.431767
iskenderun,"['36.5902266', '36.1710354']",36.5902266,36.1710354
TEKİRDAĞ,"['40.9913019', '27.3676293']",40.9913019,27.3676293
ISPARTA,"['37.9465412', '30.9602093']",37.9465412,30.9602093
BALIKESİR,"['39.5400798', '28.0228793']",39.5400798,28.0228793
TOKAT,"['40.38658275', '36.656546010111526']",40.38658275,36.656546010111526
Manavgat,"['36.7870124', '31.4406667']",36.7870124,31.4406667
ELAZIĞ,"['38.5824771', '39.396179']",38.5824771,39.396179
izmit,"['40.7721138', '29.9505623']",40.7721138,29.9505623
KAHTA,"['37.7860716', '38.6217178']",37.7860716,38.6217178
Kuşadası,"['37.8632398', '27.266873']",37.8632398,27.266873
erzurum,"['39.90632', '41.2727715']",39.90632,41.2727715
KIRKLARELİ,"['41.7078046', '27.6051334']",41.7078046,27.6051334
ORDU,"['40.8292569', '37.4082764']",40.8292569,37.4082764
KOCAELI,"['40.8216536', '29.9507184']",40.8216536,29.9507184
ÇORUM,"['40.5698389', '34.7269292']",40.5698389,34.7269292
DÜZCE,"['40.8774545', '31.2009618']",40.8774545,31.2009618
SİVAS,"['39.4191717', '37.1012388']",39.4191717,37.1012388
Adapazarı,"['40.7755188', '30.4020898']",40.7755188,30.4020898
ADAPAZARI,"['40.7755188', '30.4020898']",40.7755188,30.4020898
i̇zmir,"['38.4237433', '27.1428019']",38.4237433,27.1428019
Yenişehir,"['44.4388706', '18.1458239']",44.4388706,18.1458239
İsparta,"['37.9465412', '30.9602093']",37.9465412,30.9602093
TUNCELİ,"['39.1060641', '39.5482693']",39.1060641,39.5482693
KAYSERI,"['38.7219011', '35.4873214']",38.7219011,35.4873214
MUĞLA,"['37.1642053', '28.2624288']",37.1642053,28.2624288
MALATYA,"['38.3487153', '38.3190674']",38.3487153,38.3190674
Bozüyük,"['39.9065377', '30.0505886']",39.9065377,30.0505886
KARAMAN,"['37.1796848', '33.3383665']",37.1796848,33.3383665
"Selçuk,İzmir","['37.9507326', '27.3698345']",37.9507326,27.3698345
IĞDIR,"['39.8945292', '43.9427459']",39.8945292,43.9427459
GİRESUN,"['40.6531617', '38.5172032']",40.6531617,38.5172032
ŞANLIURFA,"['37.2595198', '39.0408174']",37.2595198,39.0408174
kayseri,"['38.7219011', '35.4873214']",38.7219011,35.4873214
ADIYAMAN,"['37.7602985', '38.2772986']",37.7602985,38.2772986
MARDİN,"['37.3132581', '40.7354383']",37.3132581,40.7354383
YALOVA,"['40.5928976', '29.077611679403788']",40.5928976,29.077611679403788
Oslo,"['59.9133301', '10.7389701']",59.9133301,10.7389701
ÇANAKKALE,"['40.0549886', '26.9278292']",40.0549886,26.9278292
İskenderun,"['36.5902266', '36.1710354']",36.5902266,36.1710354
ERZİNCAN,"['39.6073429', '39.2013209']",39.6073429,39.2013209
Alanya,"['36.8864752', '30.7029585']",36.8864752,30.7029585
GÜMÜŞHANE,"['40.2533219', '39.384968']",40.2533219,39.384968
Adapazari,"['40.7755188', '30.4020898']",40.7755188,30.4020898
Fatih,"['41.0192846', '28.9479296']",41.0192846,28.9479296
uşak,"['38.609666', '29.3306506']",38.609666,29.3306506
OSMANİYE,"['37.0733588', '36.2507673']",37.0733588,36.2507673
DENIZLI,"['37.7827875', '29.0966476']",37.7827875,29.0966476
KARABÜK,"['41.1110349', '32.6193901']",41.1110349,32.6193901
Çerkezköy,"['41.2862482', '27.999468']",41.2862482,27.999468
bilecik,"['40.1435101', '29.9752911']",40.1435101,29.9752911
KIRŞEHİR,"['39.1461142', '34.1605587']",39.1461142,34.1605587
trabzon,"['40.9098506', '39.77715282189265']",40.9098506,39.77715282189265
BAKÜ,"['40.3755885', '49.8328009']",40.3755885,49.8328009
Bağcılar,"['41.034547', '28.8567558']",41.034547,28.8567558
Fethiye,"['36.6221019', '29.1153234']",36.6221019,29.1153234
BUCAK,"['37.4567447', '30.5855392']",37.4567447,30.5855392
kütahya,"['39.2522508', '29.4937732']",39.2522508,29.4937732
"İstanbul,Kocaeli","['40.81146115', '29.36027147499813']",40.81146115,29.36027147499813
Bandırma,"['40.3554705', '27.9697603']",40.3554705,27.9697603
BOLU,"['40.6212099', '31.6460259']",40.6212099,31.6460259
ARTVİN,"['41.160506', '41.8398627']",41.160506,41.8398627
yalova,"['40.5928976', '29.077611679403788']",40.5928976,29.077611679403788
IZMIR,"['38.4237433', '27.1428019']",38.4237433,27.1428019
bursa,"['40.182737', '29.0675481']",40.182737,29.0675481
şanlıurfa,"['37.2595198', '39.0408174']",37.2595198,39.0408174
Üsküdar,"['41.0265498', '29.0151321']",41.0265498,29.0151321
Akçaabat,"['41.0216276', '39.5706735']",41.0216276,39.5706735
gaziantep,"['37.0628317', '37.3792617']",37.0628317,37.3792617
ANTAKYA,"['36.2036546', '36.1637648']",36.2036546,36.1637648
Kirsehir,"['39.3303066', '34.1265884']",39.3303066,34.1265884
