location,coordinates,lat,lon
BAKIRKÖY-İSTANBUL,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
ADANA,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
Ankara/Çankaya,"['39.9207759', ' 32.8540497']",39.9207759,32.8540497
Fethiye-Muğla,"['36.6221019', ' 29.1153234']",36.6221019,29.1153234
KARS,"['40.4558435', ' 42.9979531']",40.4558435,42.9979531
hatay,"['36.2025471', ' 36.1602908']",36.2025471,36.1602908
Uskudar,"['41.0265498', ' 29.0151321']",41.0265498,29.0151321
Konak / İZMİR,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Kadıköy,"['40.9912355', ' 29.0245385']",40.9912355,29.0245385
Mersin,"['36.7978381', ' 34.6298391']",36.7978381,34.6298391
malatya,"['38.3487153', ' 38.3190674']",38.3487153,38.3190674
Beyoğlu,"['41.0284233', ' 28.9736808']",41.0284233,28.9736808
Manisa,"['38.8574402', ' 28.0565711']",38.8574402,28.0565711
Melikgazi,"['38.7199062', ' 35.5056623']",38.7199062,35.5056623
Sanliurfa,"['37.1596239', ' 38.791929']",37.1596239,38.791929
Çorum,"['40.5698389', ' 34.7269292']",40.5698389,34.7269292
Gross-UmstadtAlmanya,"['48.5722628', '15.9884298']",48.5722628,15.9884298
Çanakkale-Merkez,"['40.146271', ' 26.4028892']",40.146271,26.4028892
SULTANBEYLİ,"['40.9670242', ' 29.2671314']",40.9670242,29.2671314
Kadikoy/Istanbul,"['40.9912355', ' 29.0245385']",40.9912355,29.0245385
Antalya,"['36.8864752', ' 30.7029585']",36.8864752,30.7029585
Gemlik,"['40.4301652', ' 29.1570698']",40.4301652,29.1570698
ankara,"['39.7160439', ' 32.7059948']",39.7160439,32.7059948
Ünye,"['41.1262405', ' 37.2853616']",41.1262405,37.2853616
antalya,"['36.8864752', ' 30.7029585']",36.8864752,30.7029585
Meram/Konya,"['37.8679527', ' 32.4946514']",37.8679527,32.4946514
çankırı/şabanözü,"['40.4831599', ' 33.2826151']",40.4831599,33.2826151
Malatya,"['38.3487153', ' 38.3190674']",38.3487153,38.3190674
Eskişehir,"['39.6821156', ' 31.0723476']",39.6821156,31.0723476
Istanbul,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Beykoz,"['41.1343001', ' 29.0920378']",41.1343001,29.0920378
Fatih,"['41.0192846', ' 28.9479296']",41.0192846,28.9479296
Bartın,"['41.4947715', ' 32.4354255']",41.4947715,32.4354255
Fatih/İstanbul,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Karaman,"['37.1796848', ' 33.3383665']",37.1796848,33.3383665
Zile,"['38.3035025', ' 35.4599719']",38.3035025,35.4599719
Van,"['38.3249599', ' 43.6589825']",38.3249599,43.6589825
Bingöl,"['39.073803', ' 40.7296181']",39.073803,40.7296181
OSMANGAZİ,"['37.1760475', ' 33.2399726']",37.1760475,33.2399726
Konak/İZMİR,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
ELAZIĞ,"['38.5824771', ' 39.396179']",38.5824771,39.396179
FATİH/İSTANBUL,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Giresun,"['40.6531617', ' 38.5172032']",40.6531617,38.5172032
Çanakkale,"['40.0549886', ' 26.9278292']",40.0549886,26.9278292
Ordu/Gölköy,"['40.6873489', ' 37.6156023']",40.6873489,37.6156023
Osmancık/ÇORUM,"['40.9780582', ' 34.8062245']",40.9780582,34.8062245
BALIKESİR,"['39.5400798', ' 28.0228793']",39.5400798,28.0228793
bakırköy / istanbul,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
Bursa,"['39.9895878', ' 28.8944669']",39.9895878,28.8944669
çankırı,"['40.6667691', ' 33.4526069']",40.6667691,33.4526069
Turgutlu-Manisa,"['38.5000458', ' 27.7084176']",38.5000458,27.7084176
Soma,"['49.1296936', ' 21.1095429']",49.1296936,21.1095429
sivas,"['39.4191717', ' 37.1012388']",39.4191717,37.1012388
Kütahya-Simav,"['39.0888824', ' 28.9772886']",39.0888824,28.9772886
bursa,"['39.9895878', ' 28.8944669']",39.9895878,28.8944669
Aliağa,"['38.8017371', ' 26.9734041']",38.8017371,26.9734041
samsun,"['41.2303557', ' 35.9683338']",41.2303557,35.9683338
İZMİR-KONAK,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
İzmir / Konak,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
karabük,"['41.1110349', ' 32.6193901']",41.1110349,32.6193901
Konya,"['38.0211951', ' 32.5224943']",38.0211951,32.5224943
Bilecik,"['40.1435101', ' 29.9752911']",40.1435101,29.9752911
Şişli/İSTANBUL,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
Kartal/Istanbul,"['40.88858', ' 29.1856536']",40.88858,29.1856536
İSTANBUL - ŞİŞLİ,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
siirt,"['37.8646916', ' 42.0510294']",37.8646916,42.0510294
Bornova/İzmir,"['38.4660651', ' 27.2190721']",38.4660651,27.2190721
İzmir- Konak,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
ANKARA,"['39.7160439', ' 32.7059948']",39.7160439,32.7059948
Kağızman/KARS,"['40.140677', ' 43.1204632']",40.140677,43.1204632
Tavşanlı-Kütahya,"['39.5451181', ' 29.4955923']",39.5451181,29.4955923
DİYARBAKIR,"['38.0814716', ' 40.4297767']",38.0814716,40.4297767
diyarbakir,"['38.0814716', ' 40.4297767']",38.0814716,40.4297767
Altındağ-Ankara,"['39.9360124', ' 32.8424903']",39.9360124,32.8424903
Çankaya,"['39.8853321', ' 32.8554966']",39.8853321,32.8554966
Balikesir,"['39.5400798', ' 28.0228793']",39.5400798,28.0228793
Adıyaman,"['37.78936', ' 38.3141101']",37.78936,38.3141101
Vize Kırklareli,"['41.5728684', ' 27.7670379']",41.5728684,27.7670379
"Yenimahalle, Ankara","['39.9661061', ' 32.8087786']",39.9661061,32.8087786
Nazilli / Aydın,"['37.9097512', ' 28.3242062']",37.9097512,28.3242062
Elmali/ Antalya,"['36.7383786', ' 29.9183623']",36.7383786,29.9183623
Elazığ,"['38.5824771', ' 39.396179']",38.5824771,39.396179
İZMİR,"['38.23166', ' 27.02997']",38.23166,27.02997
Konak İzmir,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
BEYOĞLU,"['41.0284233', ' 28.9736808']",41.0284233,28.9736808
Karasu/SAKARYA,"['41.071152', ' 30.784857']",41.071152,30.784857
State college ABD,"['40.7944504', ' -77.8616386']",40.7944504,-77.8616386
Muğla,"['37.1642053', ' 28.2624288']",37.1642053,28.2624288
"Zonguldak, Ereğli","['41.2795516', ' 31.4229672']",41.2795516,31.4229672
Körfez/Kocaeli,"['40.760756', ' 29.7839402']",40.760756,29.7839402
Balıkesir,"['39.5400798', ' 28.0228793']",39.5400798,28.0228793
Adapazarı/ Sakarya,"['40.7726291', ' 30.4038575']",40.7726291,30.4038575
gaziosmanpaşa,"['41.0578305', ' 28.9122452']",41.0578305,28.9122452
Konak - Izmir,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Konak,"['38.4185042', ' 27.1290835']",38.4185042,27.1290835
Kdz. Ereğli,"['41.21509975', ' 31.41032012232061']",41.21509975,31.41032012232061
Tekirdağ/Şarköy,"['40.6148728', ' 27.1121862']",40.6148728,27.1121862
TOKAT,"['40.38658275', ' 36.656546010111526']",40.38658275,36.656546010111526
Zonguldak,"['41.250324', ' 31.8389738']",41.250324,31.8389738
Marmaris/Muğla,"['36.8522547', ' 28.2742661']",36.8522547,28.2742661
Bolvadin/Afyon,"['38.7115866', ' 31.0454865']",38.7115866,31.0454865
Başçiftlik/Tokat,"['40.5469067', ' 37.1683222']",40.5469067,37.1683222
Harran/Şanlıurfa,"['36.8710059', ' 39.0251364']",36.8710059,39.0251364
oguzeli,"['36.9654263', ' 37.5106885']",36.9654263,37.5106885
KASTAMONUCİDE,"['49.790952', '20.3793521']",49.790952,20.3793521
karabuk,"['41.1110349', ' 32.6193901']",41.1110349,32.6193901
Polatlı/Ankara,"['39.5849888', ' 32.1421925']",39.5849888,32.1421925
Polatlı/ANKARA,"['39.5849888', ' 32.1421925']",39.5849888,32.1421925
ANAMUR/MERSİN,"['36.080323', ' 32.8312106']",36.080323,32.8312106
Antakya,"['36.2036546', ' 36.1637648']",36.2036546,36.1637648
Cihanbeyli/Konya,"['38.6589897', ' 32.9237305']",38.6589897,32.9237305
ÜSKÜDAR,"['41.0265498', ' 29.0151321']",41.0265498,29.0151321
Keşan/ Edirne,"['40.8548793', ' 26.6303057']",40.8548793,26.6303057
KONAK,"['38.4185042', ' 27.1290835']",38.4185042,27.1290835
Malatya / hekimhan,"['38.8165078', ' 37.930697']",38.8165078,37.930697
ümraniye,"['41.0256362', ' 29.0963049']",41.0256362,29.0963049
Seyhan/Adana,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
Altındağ/Ankara,"['39.9360124', ' 32.8424903']",39.9360124,32.8424903
Bakırköy/İST,"['40.9895441', ' 28.801745737503005']",40.9895441,28.801745737503005
Alaşehir,"['38.3507471', ' 28.516575']",38.3507471,28.516575
Bahçelievler,"['40.9954814', ' 28.8633136']",40.9954814,28.8633136
İstanbul / Şişli,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
hakkari,"['37.5766959', ' 43.7377862']",37.5766959,43.7377862
"Kaçanik, Kosova","['42.2280602', ' 21.2579777']",42.2280602,21.2579777
şanlıurfa hilvan,"['37.520939', ' 38.981094']",37.520939,38.981094
DENİZLİ,"['37.8275892', ' 29.2389539']",37.8275892,29.2389539
Ağrı,"['39.52916', ' 43.3835645']",39.52916,43.3835645
Gercüş,"['37.5683088', ' 41.3852365']",37.5683088,41.3852365
MalatyaMerkez,"['38.3487153', '38.3190674']",38.3487153,38.3190674
Söke,"['37.7519762', ' 27.4056294']",37.7519762,27.4056294
Karabük,"['41.1110349', ' 32.6193901']",41.1110349,32.6193901
Ankara Altındağ,"['39.9360124', ' 32.8424903']",39.9360124,32.8424903
Kocaeli,"['40.8216536', ' 29.9507184']",40.8216536,29.9507184
Milas,"['37.3169681', ' 27.7898502']",37.3169681,27.7898502
İzmit,"['40.7721138', ' 29.9505623']",40.7721138,29.9505623
KIRIKKALE,"['39.8410483', ' 33.5058536']",39.8410483,33.5058536
MALATYA,"['38.3487153', ' 38.3190674']",38.3487153,38.3190674
Kırklareli,"['41.7078046', ' 27.6051334']",41.7078046,27.6051334
2/21/1991,"['45.99377805', ' 7.182567496514292']",45.99377805,7.182567496514292
Edremit/Balıkesir,"['39.597846', ' 27.0181836']",39.597846,27.0181836
konya,"['38.0211951', ' 32.5224943']",38.0211951,32.5224943
Kdz.Ereğli,"['41.21509975', ' 31.41032012232061']",41.21509975,31.41032012232061
Abington / USA,"['42.1048228', ' -70.9453218']",42.1048228,-70.9453218
İzmir Konak,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Beyoğlu/ İstanbul,"['41.0284233', ' 28.9736808']",41.0284233,28.9736808
BURSA,"['39.9895878', ' 28.8944669']",39.9895878,28.8944669
kocaeli,"['40.8216536', ' 29.9507184']",40.8216536,29.9507184
muğla merkez,"['37.2178776', ' 28.3645937']",37.2178776,28.3645937
Azerbeycan Ahiska Turku,"['41.3329383', '36.2636246']",41.3329383,36.2636246
fethiye,"['36.6221019', ' 29.1153234']",36.6221019,29.1153234
eminönü,"['41.017536', ' 28.9710147']",41.017536,28.9710147
Kahramanmaraş,"['37.5812744', ' 36.927509']",37.5812744,36.927509
Yenimahalle/ANKARA,"['39.9661061', ' 32.8087786']",39.9661061,32.8087786
Nevşehir,"['38.7235072', ' 34.7194168']",38.7235072,34.7194168
Kırıkkale,"['39.8860105', ' 33.8278992']",39.8860105,33.8278992
KAYSERİ,"['38.7219011', ' 35.4873214']",38.7219011,35.4873214
Bandırma/Balıkesir,"['40.3554705', ' 27.9697603']",40.3554705,27.9697603
mugla,"['37.1642053', ' 28.2624288']",37.1642053,28.2624288
Güngören,"['41.0252832', ' 28.8726498']",41.0252832,28.8726498
Elmalı-ANTALYA,"['36.7383786', ' 29.9183623']",36.7383786,29.9183623
Isparta,"['37.9465412', ' 30.9602093']",37.9465412,30.9602093
sisli/istanbul,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
viranşehir şanlıurfa,"['37.5736833', ' 39.848927']",37.5736833,39.848927
İstanbul/FATİH,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Ermenek/KARAMAN,"['36.6389037', ' 32.8888721']",36.6389037,32.8888721
Keşan/Edirne,"['40.8548793', ' 26.6303057']",40.8548793,26.6303057
Erzincan,"['39.6073429', ' 39.2013209']",39.6073429,39.2013209
Ankara/K.ören,"['40.537613', ' 32.470249']",40.537613,32.470249
Kilis,"['36.7797231', ' 37.1416892']",36.7797231,37.1416892
Adapazarı,"['40.7755188', ' 30.4020898']",40.7755188,30.4020898
nazilli,"['37.9097512', ' 28.3242062']",37.9097512,28.3242062
"Baku, Azerbaycan","['40.3755885', ' 49.8328009']",40.3755885,49.8328009
Kaynarca/SAKARYA,"['41.0340469', ' 30.3055351']",41.0340469,30.3055351
Usak,"['25.0073145', ' 81.4649963']",25.0073145,81.4649963
mersin,"['36.7978381', ' 34.6298391']",36.7978381,34.6298391
Alanya,"['36.8864752', ' 30.7029585']",36.8864752,30.7029585
Kağıthane/İST,"['41.0899323', '28.9969247']",41.0899323,28.9969247
batman,"['37.7874104', ' 41.2573924']",37.7874104,41.2573924
Kocasinan/Kayseri,"['38.7395414', ' 35.4817131']",38.7395414,35.4817131
Kayseri/Kocasinan,"['38.7395414', ' 35.4817131']",38.7395414,35.4817131
Osmaniye,"['37.0733588', ' 36.2507673']",37.0733588,36.2507673
NEVŞEHİR,"['38.7235072', ' 34.7194168']",38.7235072,34.7194168
Merkez/Tokat,"['40.2768795', ' 36.2840132']",40.2768795,36.2840132
Diyarbakır-Silvan,"['38.1411514', ' 41.0056103']",38.1411514,41.0056103
Lefkoşe,"['37.0855396', ' 37.36704']",37.0855396,37.36704
Gaziantep,"['37.0628317', ' 37.3792617']",37.0628317,37.3792617
Kuşadası,"['37.8632398', ' 27.266873']",37.8632398,27.266873
Osmangazi,"['39.771669', ' 30.4907727']",39.771669,30.4907727
Bakırköy/İstanbul,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
Bakırköy Istanbul,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
Ödemiş,"['38.227747', ' 27.9687635']",38.227747,27.9687635
Denizli,"['37.8275892', ' 29.2389539']",37.8275892,29.2389539
K.Maras,"['51.5266057', ' 7.4648214']",51.5266057,7.4648214
Üsküdar/İstanbul,"['41.0265498', ' 29.0151321']",41.0265498,29.0151321
Çorum / Alaca,"['40.1690118', ' 34.8414772']",40.1690118,34.8414772
Mardin,"['37.3132581', ' 40.7354383']",37.3132581,40.7354383
CİHANBEYLİ,"['38.6589897', ' 32.9237305']",38.6589897,32.9237305
seydisehir/KONYA,"['37.4193713', ' 31.8483332']",37.4193713,31.8483332
Bolu,"['40.6212099', ' 31.6460259']",40.6212099,31.6460259
gaziantep,"['37.0628317', ' 37.3792617']",37.0628317,37.3792617
Merzifon,"['40.8721392', ' 35.4635383']",40.8721392,35.4635383
tokat zile,"['40.3005345', ' 35.8823475']",40.3005345,35.8823475
Birecik,"['37.0315322', ' 37.9800265']",37.0315322,37.9800265
KONYA,"['38.0211951', ' 32.5224943']",38.0211951,32.5224943
Duzıcı/OSMANIYE,"['37.32122305', ' 36.455449798707775']",37.32122305,36.455449798707775
İstanbul/Fatih,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Gaziosmanpaşa,"['41.0578305', ' 28.9122452']",41.0578305,28.9122452
kocasinan,"['38.7395414', ' 35.4817131']",38.7395414,35.4817131
İstanbul-Eminönü,"['41.017536', ' 28.9710147']",41.017536,28.9710147
şanlıurfa,"['37.2595198', ' 39.0408174']",37.2595198,39.0408174
Eminönü,"['41.017536', ' 28.9710147']",41.017536,28.9710147
AFYONKARAHİSAR,"['38.6852729', ' 30.6427411']",38.6852729,30.6427411
Bakirkoy,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
Niğde - Merkez,"['37.969849', ' 34.6764495']",37.969849,34.6764495
Eskişehir/Merkez,"['39.7765193', ' 30.5288805']",39.7765193,30.5288805
Ankara-Elmadağ,"['39.9173198', ' 33.2343945']",39.9173198,33.2343945
Pazar/Rize,"['41.1802584', ' 40.8868482']",41.1802584,40.8868482
Yüreğir/Adana,"['36.9894584', ' 35.3408834']",36.9894584,35.3408834
Tarsus,"['36.9164834', ' 34.895149']",36.9164834,34.895149
Kazakistan,"['48.1012954', ' 66.7780818']",48.1012954,66.7780818
Nazilli,"['37.9097512', ' 28.3242062']",37.9097512,28.3242062
Kütahya,"['39.2522508', ' 29.4937732']",39.2522508,29.4937732
ÜMRANİYE İSTANBUL,"['41.0256362', ' 29.0963049']",41.0256362,29.0963049
İSTANBUL / ŞİŞLİ,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
Kozaklı/NEVŞEHİR,"['39.21114655', ' 34.78257945114676']",39.21114655,34.78257945114676
Merzifon/Amasya,"['40.8721392', ' 35.4635383']",40.8721392,35.4635383
manisa,"['38.8574402', ' 28.0565711']",38.8574402,28.0565711
konak,"['38.4185042', ' 27.1290835']",38.4185042,27.1290835
GEBZE,"['40.8006696', ' 29.431767']",40.8006696,29.431767
BAYINDIR/İZMİR,"['38.2206046', ' 27.6472979']",38.2206046,27.6472979
Yüreğir/ADANA,"['36.9894584', ' 35.3408834']",36.9894584,35.3408834
Aydın,"['37.7405798', ' 28.0676404']",37.7405798,28.0676404
kdz eregli,"['41.21509975', ' 31.41032012232061']",41.21509975,31.41032012232061
Ardeşen/RİZE,"['41.191875', ' 40.9894178']",41.191875,40.9894178
Manyas,"['40.0476916', ' 27.9679904']",40.0476916,27.9679904
adana,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
Şişli/ İstanbul,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
Malatya/Darende,"['38.5573096', ' 37.4926521']",38.5573096,37.4926521
KIZILTEPE/ MARDİN,"['37.1916551', ' 40.5847974']",37.1916551,40.5847974
Ortaköy/AKSARAY,"['38.736624', ' 34.0412195']",38.736624,34.0412195
İSTANBUL/ KARTAL,"['40.88858', ' 29.1856536']",40.88858,29.1856536
Bağcılar/İstanbul,"['41.034547', ' 28.8567558']",41.034547,28.8567558
Tonya,"['40.8859154', ' 39.2909894']",40.8859154,39.2909894
Uludere,"['41.1083903', ' 36.9534036']",41.1083903,36.9534036
Batman,"['37.7874104', ' 41.2573924']",37.7874104,41.2573924
kırıkkale,"['39.8860105', ' 33.8278992']",39.8860105,33.8278992
MERSİN,"['36.7978381', ' 34.6298391']",36.7978381,34.6298391
Akçaabat /TRABZON,"['41.0216276', ' 39.5706735']",41.0216276,39.5706735
Niğde,"['38.0664691', ' 34.7051438']",38.0664691,34.7051438
beyoğlu,"['41.0284233', ' 28.9736808']",41.0284233,28.9736808
Pazarcık-Kahramanmaraş,"['37.4894912', ' 37.2935151']",37.4894912,37.2935151
adana/seyhan,"['36.9863599', ' 35.3252861']",36.9863599,35.3252861
İsviçre/Rheinfelden,"['47.5543859', ' 7.7922905']",47.5543859,7.7922905
Beşiri/Batman,"['37.9162455', ' 41.2927679']",37.9162455,41.2927679
Bursa/Osmangazi,"['40.182737', ' 29.0675481']",40.182737,29.0675481
KÜTAHYA,"['39.2522508', ' 29.4937732']",39.2522508,29.4937732
eyüp,"['41.0478358', ' 28.9327383']",41.0478358,28.9327383
Kirklareli,"['41.7078046', ' 27.6051334']",41.7078046,27.6051334
TRABZON / OF,"['40.947642', ' 40.2694068']",40.947642,40.2694068
Denizli / Çivril,"['38.3005877', ' 29.7373813']",38.3005877,29.7373813
osmangazi/bursa,"['40.182737', ' 29.0675481']",40.182737,29.0675481
Korkuteli,"['37.0666523', ' 30.1970497']",37.0666523,30.1970497
Bakırköy,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
osmangazi bursa,"['40.182737', ' 29.0675481']",40.182737,29.0675481
Düzce,"['40.8774545', ' 31.2009618']",40.8774545,31.2009618
Elaziğ,"['38.5824771', ' 39.396179']",38.5824771,39.396179
Zeytinburnu,"['40.9898653', ' 28.9037467']",40.9898653,28.9037467
AYDIN,"['37.8483767', ' 27.8435878']",37.8483767,27.8435878
"Istanbul, Bakirkoy","['40.9782585', ' 28.8744461']",40.9782585,28.8744461
ALTINDAĞ,"['40.7933356', ' 30.8630526']",40.7933356,30.8630526
balıkesir,"['39.5400798', ' 28.0228793']",39.5400798,28.0228793
KUMRU,"['40.8719806', ' 37.2618187']",40.8719806,37.2618187
pendik,"['40.8801577', ' 29.231618']",40.8801577,29.231618
Lüleburgaz/Kırklareli,"['41.4041358', ' 27.3554651']",41.4041358,27.3554651
Zonguldak/ Merkez,"['41.4506981', ' 31.7919867']",41.4506981,31.7919867
İZMIT,"['40.7721138', ' 29.9505623']",40.7721138,29.9505623
Çine/AYDIN,"['37.6124716', ' 28.0623096']",37.6124716,28.0623096
Konak/ İZMİR,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Fatih/Istanbul,"['41.006381', ' 28.9758715']",41.006381,28.9758715
Susurluk / BALIKESİR,"['39.9143547', ' 28.1577096']",39.9143547,28.1577096
Stuttgart / Almanya,"['48.7784485', ' 9.1800132']",48.7784485,9.1800132
diyarbakır,"['38.0814716', ' 40.4297767']",38.0814716,40.4297767
Sorgun/YOZGAT,"['39.8098675', ' 35.1854305']",39.8098675,35.1854305
AMASYA,"['40.6569451', ' 35.7727169']",40.6569451,35.7727169
İzmir/Konak,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Antalya/Alanya,"['36.8864752', ' 30.7029585']",36.8864752,30.7029585
BOLU Merkez,"['40.7332953', ' 31.6110479']",40.7332953,31.6110479
TRABZON,"['40.9098506', ' 39.77715282189265']",40.9098506,39.77715282189265
tutak,"['39.8325919', ' 43.4623249']",39.8325919,43.4623249
Konak/İzmir,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Beypazarı,"['40.1661927', ' 31.9207632']",40.1661927,31.9207632
Salihli,"['38.2372178', ' 39.6632501']",38.2372178,39.6632501
Sinop,"['41.6476377', ' 34.9560137']",41.6476377,34.9560137
Zonguldak Ereğli,"['41.2795516', ' 31.4229672']",41.2795516,31.4229672
Naziili / Aydın,"['37.7405798', '28.0676404']",37.7405798,28.0676404
DATÇA/MUĞLA,"['36.7263403', ' 27.6873855']",36.7263403,27.6873855
ÜSKÜDAR/İSTANBUL,"['41.0265498', ' 29.0151321']",41.0265498,29.0151321
Çatalca,"['41.1436804', ' 28.4605154']",41.1436804,28.4605154
Akhisar/MANİSA,"['38.9240528', ' 27.8401895']",38.9240528,27.8401895
Bahçelievler/ İstanbul,"['40.9954814', ' 28.8633136']",40.9954814,28.8633136
BORNOVA/İZMİR,"['38.4660651', ' 27.2190721']",38.4660651,27.2190721
VAN,"['38.3249599', ' 43.6589825']",38.3249599,43.6589825
Menemen,"['38.6093916', ' 27.0664452']",38.6093916,27.0664452
Eflani-Karabük,"['41.4229445', ' 32.9581882']",41.4229445,32.9581882
KONAK-İZMİR,"['38.4237433', ' 27.1428019']",38.4237433,27.1428019
Şişli,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
İSTANBUL-KADIKÖY,"['40.9912355', ' 29.0245385']",40.9912355,29.0245385
BAKIRKÖY/İSTANBUL,"['40.9782585', ' 28.8744461']",40.9782585,28.8744461
BATMAN,"['37.7874104', ' 41.2573924']",37.7874104,41.2573924
BOLU/Gerede,"['40.7987548', ' 32.2009075']",40.7987548,32.2009075
fatih/ist,"['41.0097157', ' 28.9550952']",41.0097157,28.9550952
Bandırma,"['40.3554705', ' 27.9697603']",40.3554705,27.9697603
KKTC/Magosa,"['49.790952', '20.3793521']",49.790952,20.3793521
KARABÜK,"['41.1110349', ' 32.6193901']",41.1110349,32.6193901
şişli,"['41.0637891', ' 28.9831642']",41.0637891,28.9831642
Turgutlu/MANİSA,"['38.5000458', ' 27.7084176']",38.5000458,27.7084176
Aksaray,"['38.4326291', ' 33.8976963']",38.4326291,33.8976963
uşak,"['38.609666', ' 29.3306506']",38.609666,29.3306506
Hatay,"['36.2025471', ' 36.1602908']",36.2025471,36.1602908
Yalova,"['40.5928976', ' 29.077611679403788']",40.5928976,29.077611679403788
K.maraş,"['51.5266057', ' 7.4648214']",51.5266057,7.4648214
Afyon,"['38.6852729', ' 30.6427411']",38.6852729,30.6427411
Bayburt,"['40.2023027', ' 40.2121599']",40.2023027,40.2121599
Hakkari,"['37.5766959', ' 43.7377862']",37.5766959,43.7377862
Muş,"['38.9740786', ' 41.9590433']",38.9740786,41.9590433
Bitlis,"['38.4950867', ' 42.1678372']",38.4950867,42.1678372
Şanlıurfa,"['37.2595198', ' 39.0408174']",37.2595198,39.0408174
Amasya,"['40.6569451', ' 35.7727169']",40.6569451,35.7727169
Tunceli,"['39.1060641', ' 39.5482693']",39.1060641,39.5482693
Ordu,"['40.8292569', ' 37.4082764']",40.8292569,37.4082764
Edirne,"['41.6759327', ' 26.5587225']",41.6759327,26.5587225
Gümüşhane,"['40.2533219', ' 39.384968']",40.2533219,39.384968
Burdur,"['37.5183407', ' 30.1691254']",37.5183407,30.1691254
Şırnak,"['37.455253', ' 42.5212049']",37.455253,42.5212049
Siirt,"['37.8646916', ' 42.0510294']",37.8646916,42.0510294
Yozgat,"['39.7152422', ' 35.170998']",39.7152422,35.170998
Tokat,"['40.38658275', ' 36.656546010111526']",40.38658275,36.656546010111526
Tekirdağ,"['40.9913019', ' 27.3676293']",40.9913019,27.3676293
